speaker ID	Gender	Vowel	Cochleogram	file
09901	f	a	[0.001007781,0.00053460477,0.0007674709,0.00030926155,0.001971317,0.00089295855,0.0026081041,0.0035080737,0.026273528,0.018632382,0.0018880512,0.0013525683,0.0013457761,0.0007110013,0.0008530058,0.0023861188,0.013245114,0.014261965,0.0032582856,0.0022506674,0.0018885018,0.0032605233,0.014503441,0.014954787,0.0062257345,0.00597292,0.008719445,0.019685304,0.016235301,0.009500195,0.026282858,0.044819795,0.02595404,0.010048139,0.024383582,0.029219419,0.014747208,0.020191465,0.016758641,0.014694279,0.022564631,0.013529655,0.015329236,0.01443977,0.026236963,0.018208414,0.016696075,0.020713758,0.011333981,0.009207891,0.006495123,0.0050366423,0.0038876925,0.0034838074,0.0032455516,0.004422652,0.0057906387,0.007764512,0.010987243,0.014499439,0.010157078,0.005376333,0.0041244556,0.0048577907,0.0060623502,0.0066634594,0.0041012955,0.0019599816,0.00113111,0.001001906,0.0008262349,0.0005183371,0.00058578595,0.00078352075,0.0007762489,0.00049391814,0.0005154005,0.0006484382,0.00053098187,0.0014782125]	caf_09901_00367221469
09901	f	a	[0.0069491267,0.0044446834,0.006443742,0.0017996919,0.010781363,0.004942703,0.021745482,0.019493105,0.01532364,0.011217879,0.0030547793,0.0019283886,0.0005496759,0.0038052844,0.012061883,0.037111055,0.016690573,0.0076078246,0.0056941714,0.006470389,0.014335685,0.01255505,0.006300966,0.0064245937,0.009789445,0.011525689,0.006730809,0.0030109219,0.00985094,0.025588183,0.015366757,0.017482465,0.029025732,0.015242209,0.0065878723,0.027675347,0.02370754,0.015810316,0.018251505,0.012185843,0.012949948,0.0071708215,0.009236651,0.011385515,0.015656767,0.012314507,0.023253443,0.023336696,0.02090592,0.008512183,0.0044560647,0.0035658015,0.0035674209,0.00343652,0.0034023863,0.004247935,0.0055317027,0.008020682,0.009736374,0.005340964,0.004316304,0.0028623824,0.0025940326,0.0027238233,0.0031611288,0.003355611,0.0024195737,0.002094862,0.0017567915,0.0012188844,0.0015605472,0.0013043764,0.0005935615,0.0003503392,0.0005541288,0.0009126258,0.000743112,0.0004558514,0.00068748824,0.0019617395]	caf_09901_02143620428
09901	f	a	[0.0015466624,0.0014937974,0.0021443614,0.0008388131,0.005317975,0.0024089776,0.01538128,0.013200541,0.0026045062,0.0018955469,0.0007840039,0.0019654548,0.0075905086,0.009122308,0.011773232,0.004472151,0.0031748777,0.0026325712,0.002101851,0.0023938317,0.0023032082,0.0019238341,0.001948146,0.0029081854,0.0034901996,0.003144807,0.0022971684,0.001423224,0.0024958355,0.003216142,0.0022287653,0.0021024963,0.0047583617,0.004205704,0.0020959747,0.0037876696,0.002881821,0.0012768044,0.0011565537,0.00151228,0.0016304532,0.0016340845,0.0013694897,0.0021004637,0.0024092481,0.0024173118,0.0034922604,0.0024847735,0.0021518697,0.0014103671,0.0009819883,0.00075468153,0.00052552647,0.0004123878,0.00038175646,0.00064238225,0.0013775297,0.0016139334,0.0009250851,0.0005190884,0.00039266443,0.00030799123,0.00025005595,0.00029647854,0.0003577193,0.0003035056,0.00026293303,0.0002001918,0.00019035458,0.00018336806,0.00018997627,0.00022887035,0.00019797948,0.00020010049,0.00017552431,0.00016283765,0.00016080013,0.00018083847,0.00020705743,0.00082333013]	caf_09901_00845811294
09901	f	a	[0.0035712547,0.0024940518,0.003579814,0.0009892065,0.0057959226,0.0026254738,0.014954627,0.013261861,0.011276078,0.008388111,0.0056114024,0.0042202934,0.005016501,0.0065855263,0.012010248,0.02439317,0.010991723,0.005127681,0.003449422,0.0026898058,0.006717429,0.0056991237,0.003406887,0.004059556,0.009199903,0.011098267,0.0050641703,0.004183752,0.008313608,0.020567488,0.010319518,0.015938839,0.04159045,0.01328465,0.009401967,0.019708158,0.0118121635,0.011806801,0.00893046,0.00935324,0.015267453,0.00947606,0.013812106,0.011066589,0.015963463,0.014274601,0.016002208,0.023492927,0.020528581,0.014370571,0.008861934,0.005032445,0.004627264,0.0049286005,0.0054671266,0.0074750734,0.010813256,0.011716773,0.009110919,0.006035279,0.0046384535,0.0034467054,0.0033783147,0.0032629408,0.0035502017,0.0028716507,0.0026673267,0.0017203876,0.001283154,0.00095468655,0.0006478096,0.0004189449,0.00023296011,0.00026072483,0.00043241208,0.00047340046,0.0005090588,0.000859658,0.00069661986,0.0014492361]	caf_09901_00510205304
09901	f	a	[0.0018003287,0.0006305154,0.00091414695,0.00026892565,0.0016342072,0.000749113,0.0014058346,0.0013360577,0.0026020783,0.002114552,0.0031851577,0.010487415,0.044352986,0.021592053,0.012447792,0.0059550577,0.0038455892,0.00317744,0.0032334274,0.0032068435,0.0023746318,0.0153505495,0.018229645,0.010329608,0.005373919,0.004005159,0.004538203,0.006769599,0.02592013,0.032754615,0.015141997,0.005474111,0.0025846863,0.0029299515,0.00608417,0.004790664,0.003170387,0.0032860376,0.0064393864,0.004546335,0.00209797,0.0046765236,0.008590897,0.005349823,0.003834442,0.0041759033,0.0024489462,0.0024719706,0.002776824,0.0011757921,0.0011048178,0.00095650065,0.00085908844,0.00072320865,0.0009856495,0.0011713357,0.00084112835,0.0013407534,0.0023520747,0.0029354915,0.0028814715,0.0017266638,0.0011362403,0.001084067,0.0017087482,0.0012113214,0.0006154581,0.0003262632,0.00031364092,0.00025617977,0.00020541117,0.00018625414,0.00019117887,0.00022046555,0.000482128,0.00054618326,0.00092357374,0.0005149219,0.00036138744,0.0013893778]	caf_09901_01979499266
09901	f	a	[0.0030392103,0.00217465,0.003121637,0.0009279024,0.005543887,0.0025115137,0.012455498,0.01120413,0.012621421,0.009365218,0.006028213,0.0037917006,0.0014607433,0.0017010843,0.0057249023,0.021476831,0.0106655825,0.005849255,0.0037293104,0.0032311354,0.0079727555,0.006877933,0.0035898467,0.003159717,0.003526575,0.0060700616,0.0075155343,0.0062733954,0.009499124,0.024041105,0.02253745,0.023743806,0.030962951,0.03424265,0.020142732,0.024013191,0.013464835,0.0107273655,0.01132544,0.0078430185,0.010636936,0.0071779666,0.007240175,0.007904697,0.011132551,0.009455898,0.011707987,0.017410526,0.014868774,0.0067217415,0.0048090843,0.004358295,0.0035080626,0.0036717083,0.005156714,0.0048084967,0.006872968,0.008713199,0.0057488927,0.003993956,0.003514174,0.0032858083,0.0026887974,0.0034045835,0.0042086067,0.0030899425,0.0016990656,0.0017184513,0.0010599082,0.00056479505,0.00036771467,0.00035773666,0.00021511428,0.00013189725,0.00033016052,0.00037837066,0.0005756412,0.0005712054,0.0002828819,0.00091013015]	caf_09901_00880085584
09901	f	a	[0.003775276,0.0025897718,0.0037178274,0.0009986644,0.0058048223,0.0026294712,0.010884567,0.0103603555,0.022617139,0.01652364,0.0075832056,0.0053156815,0.004808039,0.0028592355,0.0055247145,0.019601533,0.007880309,0.0031048122,0.003282643,0.0030488216,0.003320956,0.014204015,0.01531446,0.009081459,0.0076574553,0.011932116,0.0129159475,0.006766362,0.007440137,0.032671154,0.060924154,0.03165066,0.015494222,0.025836939,0.020864557,0.01061836,0.015013764,0.008261507,0.012862319,0.019712137,0.011951333,0.030857079,0.024748066,0.039166436,0.03647031,0.02617114,0.01258436,0.012097645,0.0069503216,0.0059498893,0.004717804,0.0034041093,0.0033667074,0.002484397,0.0031077075,0.00388868,0.005593372,0.008120795,0.014019815,0.014734125,0.0098278625,0.0064888992,0.00518313,0.0061820573,0.007535522,0.0057461737,0.0035682311,0.0019777894,0.0010954484,0.00065672665,0.0006246731,0.0005830425,0.00028866355,0.000258998,0.0002687053,0.0005124662,0.0007727995,0.0005345925,0.00046699453,0.0014700615]	caf_09901_02134001799
09901	f	a	[0.004419465,0.0029454487,0.004228206,0.0010152443,0.0056981505,0.0025811042,0.0058144536,0.0059598526,0.02072568,0.016423872,0.022737565,0.01530914,0.011151535,0.0076522133,0.008089894,0.009117109,0.011707181,0.018126568,0.02857181,0.006597907,0.0037483254,0.00818504,0.016725117,0.044597127,0.07953927,0.07302421,0.028309885,0.02181321,0.03000533,0.043297622,0.0148405,0.0062934635,0.008503098,0.009870853,0.0032780098,0.0010559823,0.0026951344,0.002973835,0.0027768193,0.0067125903,0.0040482674,0.0022719237,0.0058754915,0.004643537,0.01043311,0.009257918,0.013456256,0.019547343,0.018840455,0.019006848,0.016477367,0.009968751,0.007652219,0.0074229706,0.008889467,0.014289419,0.016160924,0.016517092,0.008441485,0.0060814833,0.005340148,0.005114908,0.0056464183,0.008979494,0.012645349,0.011415328,0.0062815677,0.0030708674,0.0026595227,0.0033502735,0.0019844843,0.00048588563,0.00016447678,0.00019494136,0.00070850446,0.0014769537,0.0011639935,0.0013273989,0.0011906862,0.0023182686]	caf_09901_00422192031
09901	f	a	[0.002346454,0.0013279358,0.0019061558,0.00047724173,0.0027152991,0.001230063,0.0036386708,0.0037058538,0.01249307,0.009000559,0.002631858,0.0017756311,0.001308803,0.0004963515,0.0014491037,0.0076265982,0.007129569,0.006660119,0.004468469,0.0030176598,0.0027753839,0.009701838,0.009986844,0.0054191966,0.0041815024,0.003395036,0.013330473,0.0143512795,0.0037035316,0.008524969,0.048606846,0.056379624,0.021670045,0.010360992,0.013159607,0.008042928,0.009328559,0.0077295066,0.006087188,0.020331252,0.011983316,0.012426766,0.016020639,0.016825555,0.024449557,0.02513733,0.04435213,0.05081837,0.031790275,0.022841321,0.012717267,0.007895707,0.0068837735,0.006277961,0.007324755,0.009094406,0.014638066,0.023183806,0.020937458,0.014282236,0.01068301,0.008664708,0.011054263,0.011609984,0.014178589,0.013248887,0.010670469,0.0070356224,0.005994695,0.0039641773,0.0029616593,0.0013527435,0.00033720088,0.00023220289,0.00023599244,0.00025129682,0.0002615551,0.0003182101,0.00061684276,0.001607469]	caf_09901_00051566582
09901	f	a	[0.0016831819,0.00037897663,0.0005439907,0.0004436041,0.0030792747,0.0013949781,0.015745876,0.013760031,0.007730114,0.005845823,0.005027776,0.0043359683,0.007288293,0.0098620085,0.014796272,0.01639143,0.008755222,0.005526978,0.0044912375,0.006919229,0.0071469564,0.0042280676,0.0018238389,0.0029395262,0.009652181,0.011022528,0.0023567749,0.0035985904,0.013782849,0.008725244,0.008122324,0.025329065,0.015901642,0.005173819,0.0084755635,0.0055502523,0.0030214016,0.0046358374,0.0032505626,0.007050587,0.0051395213,0.006896196,0.005625919,0.00544019,0.0055017406,0.008033469,0.011129963,0.015468519,0.022694966,0.011938518,0.0064833835,0.0034974155,0.0028133732,0.0027161315,0.0037717319,0.006456101,0.0062025394,0.005194717,0.0021497554,0.0013017475,0.001051252,0.00071440585,0.0006682094,0.00075843616,0.0012137451,0.0007475466,0.0004251417,0.00029183805,0.00029529867,0.00022514112,0.0001962181,0.00014394581,0.00012817186,0.00012545244,0.00011999915,0.00010874323,0.0001186644,0.0001536167,0.00023414308,0.0010540353]	caf_09901_00608582592
