goldLabel	predictedLabel	a	e	i	o	u
i	i	0.0005044536599753184	0.018955383723999974	0.5855521378456985	0.01497372445357267	0.38001430031675365
i	i	5.856957560367553e-06	0.003850020729805986	0.9947712464688863	5.655001189315312e-05	0.0013163258318540283
i	i	0.0015855679058270216	0.02221124314803051	0.7110062457120424	0.01757234021916313	0.24762460301493686
i	i	6.238671069662563e-06	0.002400499481590636	0.9947875023967868	0.00015131839137815873	0.002654441059174727
i	i	0.002804985578581879	0.16808554953086785	0.667708887972981	0.022763094960543306	0.1386374819570261
i	i	0.0015204942712251299	0.03721057727185576	0.9301786723585203	0.0060507197321692475	0.025039536366229558
i	i	0.005541049044934127	0.074985789088551	0.8509395949479203	0.02444298890925848	0.0440905780093361
i	i	0.0001645367314539657	0.0073411565882922775	0.9316825063496029	0.002912340652509875	0.05789945967814099
i	i	5.7999491851460444e-05	0.004107120272849029	0.977427130437293	0.0010527326987300027	0.017355017099276462
i	i	0.00012089709032212812	0.00881117228875285	0.95562542125824	0.0022184005570679986	0.033224108805616985
i	i	5.4242016891682944e-05	0.020411414529462553	0.894423967596406	0.003192321891098644	0.0819180539661411
i	i	1.6201790765891637e-05	0.00479411768079207	0.9792306694895352	0.0005821292793150745	0.015376881759591607
i	i	3.059817836476483e-07	0.0007993238324221938	0.9988081818657063	3.340103594062548e-05	0.0003587872841473674
i	i	0.004068647985846782	0.053178054014755595	0.5034861637536792	0.03178480005016407	0.40748233419555435
i	i	2.243219800005425e-05	0.005782803838150388	0.9910826787124162	0.00019199982575716362	0.0029200854256760406
i	i	0.004981807267306171	0.15394873547530669	0.7156701693739125	0.014041358317052291	0.1113579295664225
i	i	5.3795231631660984e-05	0.004840923227341307	0.5374219230432821	0.004403254035061084	0.45328010446268374
i	i	2.0917124777209e-05	0.0070001210256047915	0.9926463737374024	3.3231414354983566e-05	0.00029935669786066625
i	u	0.0027140246710217098	0.022864709640639656	0.21438160523393038	0.0492853321000991	0.7107543283543091
i	i	0.004696831442088435	0.05273091922818755	0.6982465622814241	0.02462248157123357	0.2197032054770663
i	i	9.276091215617161e-05	0.012672907854241258	0.8960046662211948	0.0020223497231832465	0.08920731528922457
i	i	3.502413676037813e-06	0.011934078441293279	0.9880493640925206	2.226705311761795e-06	1.082834719832722e-05
i	i	0.001548712381446237	0.030371709494863487	0.6376766075564748	0.01539957361295526	0.3150033969542602
i	i	0.00036492624203038294	0.045611258091638004	0.6613050788268542	0.00437641762037696	0.28834231921910053
i	i	0.0004955893455214322	0.02479222050466642	0.9400507822935041	0.001910656835981634	0.032750751020326395
i	i	6.368727551664623e-06	0.004193139883985	0.9800652517328962	0.00026966559477433345	0.015465574060792742
i	i	9.523934724068326e-05	0.05287246084987383	0.9459433035908105	0.00012921619400142376	0.0009597800180736944
i	i	7.717693621572453e-05	0.017945288702382833	0.9791768152519876	0.00026918136924568216	0.0025315377401681533
i	i	3.604482385491407e-05	0.006566258383599034	0.9879178616471721	0.00032177401680902237	0.005158061128564954
i	i	0.0010878977523815416	0.024331067441806537	0.680577120278499	0.024976221656765017	0.2690276928705478
i	i	0.0056321519614605095	0.1811233642783164	0.7487935743408464	0.009090608358454419	0.05536030106092219
i	i	0.003154167685188606	0.12793020062722651	0.6775737952448575	0.013726441654351303	0.17761539478837612
i	i	0.0006504998084724708	0.09532251935344387	0.8971621116420544	0.000659569871399466	0.006205299324629839
i	i	0.00022835825904170588	0.015017320628115916	0.826714949330521	0.0010269171508989002	0.15701245463142235
i	i	0.00037688531118106646	0.019266037162153707	0.916795319650046	0.004448275564274948	0.05911348231234413
i	i	0.0003317664776278285	0.010843961822651932	0.5168297329790656	0.011241120017693298	0.4607534187029613
i	i	0.0007251753404594936	0.1282818519422925	0.85001086299166	0.0031764067268324754	0.017805702998755498
i	i	5.6916481746177735e-05	0.01166775543366418	0.9852476121576246	0.000157552327106342	0.0028701635998586825
i	i	0.0004063073546896391	0.034310427084418116	0.9067671293924823	0.004179804556685545	0.05433633161172454
i	i	0.006308952491644972	0.04470902282924438	0.8063176997603735	0.024649116968636867	0.11801520795010018
i	i	8.415669943951672e-06	0.00401645539678775	0.9605730527516445	0.0006455327835095892	0.03475654339811421
i	i	0.0029227435620114927	0.17342304794990274	0.6420672034102204	0.01594866491479905	0.16563834016306636
