speaker ID	Gender	Vowel	Cochleogram	file	start	end
09901	f	a	[0.001480847238987481,0.002553693009060974,0.025205031238858863,0.032402833400153645,0.0019792802337217368,0.02373066121900108,0.007772465559533554,0.025755153589148077,0.022016772837474125,0.03479475952496157,0.06454028007251461,0.049402503978333456,0.036016289546353907,0.03358830860345414,0.039172609553786535,0.03139256891484958,0.011116336475667904,0.0062088586061738735,0.013459558046604557,0.019067480798191493,0.00811052690017214,0.007366555765303549,0.001698956666120249,0.001104674833954886,0.000999609106092526,0.0019762504915100407]	caf_09901_00367221469	5.24	5.33
09901	f	a	[0.003312925446672299,0.006522071962326094,0.02919458607335598,0.01770717390295714,0.022167756568976894,0.028700844914752555,0.010696714211039281,0.008486993085730013,0.013004548638601041,0.02658152091947376,0.031573380232963216,0.029930220825580302,0.018625475895842788,0.01250226268844225,0.016343582708903487,0.027064779976770294,0.00749819690235691,0.0036537685647954096,0.010090366128897271,0.0068750449620076145,0.0028265426941909365,0.002354462772309431,0.0017458595562311835,0.0009520096390028873,0.0008321986785145533,0.0017506555734384751]	caf_09901_02143620428	2.63	2.75
09901	f	a	[0.0028108995227382207,0.007124259953704352,0.026368943746202488,0.004417234287508476,0.017760106136693255,0.007782394645044564,0.0036437687836234555,0.004422088710706373,0.004503941539985327,0.004965808385919569,0.00653085746620272,0.005708842384717405,0.0027604599139424537,0.002733493839165375,0.004145210043188089,0.004368662150656545,0.0017019189743811675,0.0008166451952431921,0.002336579020400835,0.0008643318227249425,0.0004501507667816032,0.00037465916553606083,0.0002606327453251371,0.0002916973252012177,0.00023528862538648237,0.0010092692643649667]	caf_09901_00845811294	7.1	7.19
09901	f	a	[0.010315520816115836,0.012347553320507994,0.03471599811554562,0.008760964708435279,0.01873448556213053,0.02936651168326838,0.012859114914072638,0.012610903219517815,0.018555537606530313,0.02710317257868572,0.05482167429142222,0.028642993812035167,0.02009150602833834,0.02286442170685245,0.02492062689313195,0.035229750271204986,0.016621141113367526,0.009452650687484696,0.016591836432912455,0.008417358426777008,0.00512305611943673,0.004440403888450635,0.0019330426504328942,0.0007981763857119532,0.0012187250807900439,0.002240819794120621]	caf_09901_00510205304	1.35	1.46
09901	f	a	[0.002078177569390304,0.0019040558247225355,0.002804324133446143,0.020862618925489178,0.047559600696988,0.008222603657522224,0.009983114918267883,0.02473007427695951,0.007888409221540035,0.041130022414171394,0.011509785720291009,0.007857208690159198,0.008119232028152488,0.010272016619232343,0.007982214884901504,0.004073801875831275,0.00175419362522895,0.0014194140643680618,0.0026156776404379434,0.004456591619696528,0.0021419990008054862,0.0013674283849585457,0.0003427330748315216,0.00040719282397673966,0.001118906663393246,0.0016168696625762128]	caf_09901_01979499266	2.64	2.73
09901	f	a	[0.005641609858581896,0.008216677053504217,0.028829806725613707,0.01759274257954046,0.013880267884739454,0.03011680377906591,0.013872561798025523,0.011829979350029591,0.013439245587322545,0.04165691437011955,0.0685630351814744,0.053591857489970175,0.02691942925079596,0.019724133260875576,0.02155851802640861,0.03368538895370628,0.009549338247311957,0.009697312221256242,0.014462617837433713,0.006700421436510896,0.006433481014147961,0.004616625181528609,0.0016564707992457696,0.0005921145925186327,0.0011285095119556992,0.0016236466855723867]	caf_09901_00880085584	1.6	1.7
09901	f	a	[0.0023734207385233816,0.006119829109410597,0.026184706719592773,0.02992086787646831,0.013334794459727522,0.025349661035059246,0.010506943571786732,0.02611530133335077,0.023913082621563386,0.07832934580692409,0.0752216142753745,0.042198820471250786,0.03377559856542977,0.060256269188122796,0.07108960371963197,0.01771499965356727,0.007828763569094921,0.005442695823205116,0.01701015176615315,0.019381526293065103,0.011379667909361766,0.0071402183060911,0.0014014248276020022,0.0005964506814229692,0.0010133654605405998,0.0020619254891591004]	caf_09901_02134001799	1.35	1.42
09901	f	a	[0.005683807818169471,0.006216948176155026,0.017649642848825295,0.037517411029563096,0.012084092361102913,0.024123090609471667,0.03414521697409107,0.05635165016030385,0.11701360485567378,0.04871068227828881,0.019002352774755975,0.008084197221169495,0.007452235257715505,0.00902153233515094,0.01743945528716556,0.03539471629215666,0.02209191387339005,0.013685523203199853,0.02217703578565428,0.008368280869891321,0.013045029452948394,0.011267786095817614,0.004268154924374925,0.0006537676827398636,0.001941169619362299,0.003102795939480257]	caf_09901_00422192031	1.54	1.59
09901	f	a	[0.0018896568367220078,0.0024480968744906295,0.01419361419699722,0.01791669885213789,0.008457757864614763,0.015055122270300814,0.007684750516392011,0.018296091353603137,0.02356334816396781,0.05327428128124241,0.07821155862603653,0.02255235367588411,0.028368090112818115,0.030629613408636066,0.05521569253728381,0.08984272181582102,0.02843821324189996,0.014410182121754917,0.04288081853036146,0.029035348124598997,0.023703200404188142,0.022035930219692995,0.009270528499475971,0.0021111596200787362,0.00044950459142471794,0.002378319176821583]	caf_09901_00051566582	1.44	1.55
09901	f	a	[7.51225621131524e-05,8.581455083701294e-05,4.8905251224834196e-05,3.7430282635776104e-05,4.4784433070682644e-05,3.252609238460538e-05,4.08125030708424e-05,3.0319358259575877e-05,3.167293257293044e-05,6.293833753670251e-05,9.279868635185858e-05,4.447128539891908e-05,5.3839163426260084e-05,0.0001005179848243381,9.4878314558844e-05,4.907804196308295e-05,3.28069618024723e-05,4.213465378381872e-05,2.808039168550013e-05,4.094945094604221e-05,6.144124607042991e-05,4.469746586370607e-05,6.559027061103438e-05,4.89212213165308e-05,4.409383697199834e-05,0.00038322783675953686]	caf_09901_00422192031	3.68	3.71
